company_id,company_name,normalized_name,editions,booths,unit_type,tags,industry_chain_position,country,province,city,district,region,organization_nature,service_scope,representative_projects,association_member,ufi_related,icca_related,international_memberships,website,address,phone,email,fax,data_source_summary,trust_level,updated_at,contact_policy,verification_status,confidence,location_method,source_ids,source_types,notes
C0022,特立达供应链管理有限公司,特立达供应链管理有限公司,第二届展链会,A08、厦门展团 A08,企业,展览物流与仓储报关,中游,中国,福建省,厦门市,湖里区,华东,民企/市场化机构,展览物流、仓储、运输、报关,待补充,待核验,待核验,待核验,待核验,,厦门市湖里区高新技术园新希阳中心 988 号 506 室,13003928871,,,展链会手册/展商名录,B,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,高,address,S0023、S0276,pdf_detail、pdf_summary,
C0023,深圳国际会展中心,深圳国际会展中心,中国博览会和展览会2026、中国展览馆协会理事会、第二届展链会,B28,展馆与会议中心,展会主办/承办机构、展馆与会议中心,上游,中国,广东省,深圳市,宝安区,华南,事业单位/研究机构,场馆运营、会议展览承载、组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,第十一届华南空气压缩机展览会,中国展览馆协会常务理事单位,待核验,待核验,待核验,,,,,,中国博览会和展览会、中国展览馆协会官网、展链会手册/展商名录,B,2026-05-25,,仅名录收录，待外部核验；中国展览馆协会官网理事会公开收录，地址/工商待补充,低,source_official_city,S0024、S6648、S13399,caec_council、china_expo_2026_venue、pdf_summary,服务口径：场馆运营、会议展览承载；第十一届华南空气压缩机展览会；展会地点：深圳国际会展中心
C0024,深圳市招华国际会展运营有限公司,深圳市招华国际会展运营有限公司,第二届展链会,B28,企业,展会主办/承办机构,上游,中国,广东省,深圳市,,华南,民企/市场化机构,组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,待补充,待核验,待核验,待核验,待核验,,,,,,展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验,中,name,S0025,pdf_summary,
C0025,山东省会展产业发展协会,山东省会展产业发展协会,第二届展链会,B08,行业协会与商协会,行业协会与商协会,支持机构,中国,山东省,济南市,历下区,华东,协会,行业组织、会员服务、标准研究,待补充,待核验,待核验,待核验,待核验,,山东省济南市历下区华阳路汇源大厦 1601 室,15054170519,,,展链会手册/展商名录,B,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,高,address,S0027、S0225,pdf_detail、pdf_summary,
C0026,青岛市贸促会,青岛市贸促会,第二届展链会,B08,政府与公共机构,政府与公共机构,支持机构,中国,山东省,青岛市,,华东,政府部门/公共机构,政策支持、公共服务、招商推介,待补充,待核验,待核验,待核验,待核验,,,,,,展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验,中,name,S0028,pdf_summary,
C0027,新丞华国际会展 (山东) 集团有限公司,新丞华国际会展山东集团有限公司,中国博览会和展览会2025、中国博览会和展览会2026、中国展览馆协会会员名录、第二届展链会,B08,企业,展会主办/承办机构,上游,中国,山东省,潍坊市,,华东,民企/市场化机构,组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,中展博2025项目0498、博览会、展览会、山东国际大健康产业博览会,中国展览馆协会会员,待核验,待核验,待核验,,,0531-86512559,cmee@chenghuaex.com,0531-88879893,中国博览会和展览会、中国展览馆协会官网、展链会手册/展商名录,A,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验；中国展览馆协会官网会员名录公开收录，地址/工商待补充,高,source_official_city,S0029、S0780、S8855、S8856、S14661、S14728、S14846、S14847,caec_member、china_expo_2025_organizer、china_expo_2026_organizer、pdf_summary,中展博2025项目0498；主办；电话：0531-86512559；邮箱：；官网：www.chnhee.com ㎩Ⳝ㬱  ӋЎӋ޷ত৸ৗࡼЉ࣏㓆ڱࢺԧ੒Ѫ；中展博2025项目0498；承办；电话：0531-86512559；邮箱：；官网：www.chnhee.com ㎩Ⳝ㬱  ӋЎӋ޷ত৸ৗࡼЉ࣏㓆ڱࢺԧ੒Ѫ；入会/收录时间：2009-01-01
C0028,海名国际会展集团,海名国际会展集团,中国博览会和展览会2025、中国博览会和展览会2026、中国展览馆协会会员名录、中国展览馆协会理事会、第二届展链会,B08,企业,展会主办/承办机构,上游,中国,山东省,青岛市,,华东,民企/市场化机构,组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,中国 (青岛) 国际面辅料及纱线展览会、中国青岛国际印刷及包装设备展览会、中展博2025项目0487、中展博2025项目0493、中展博2025项目0545、中展博2025项目0719,中国展览馆协会会员；中国展览馆协会理事单位,关联UFI认证展会（山东国际纺织服装供应链博览会）,待核验,UFI：关联UFI认证展会（山东国际纺织服装供应链博览会）,,,0532-85011486,server@onezh.com  ॕЃنЗ֡ͣ࠽ԗͤ֡ଢ଼ࠉ৖⸎ݪՂ ԔੇٖЎԧ੒Ѫ,0532-85012624,中国博览会和展览会、中国展览馆协会官网、展链会手册/展商名录,A,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验；中国展览馆协会官网会员名录公开收录，地址/工商待补充,高,source_official_city,S0030、S0406、S6671、S8812、S8831、S9001、S9629、S9870、S9872、S9970、S9972、S9975、S9997、S10013、S10192、S13973、S14576、S14771、S14801、S14805、S14820、S14822,caec_council、caec_member、china_expo_2025_organizer、china_expo_2026_organizer、pdf_summary,中国 (青岛) 国际面辅料及纱线展览会；主办；电话：17669680571；邮箱：；官网：sdml.hmfbh.com UFI 认证展会 2026 山东国际纺织服装供应链博览会；中国青岛国际印刷及包装设备展览会；主办；电话：17669680575 2026 第 23 届青岛国际金属加工设备展览会；邮箱：；官网：；中展博2025项目0487；主办；电话：0532-85011486；邮箱：；官网：www.qdhmpet.com  ॕзԜЅنԡԗडѪҷҺ،ҵуռԧ ੒Ѫ澝ݤޕ،୔ͣͤԧ੒Ѫ
C0029,山东福瑞德国际会展集团,山东福瑞德国际会展集团,中国博览会和展览会2025、中国博览会和展览会2026、第二届展链会,B08,海外单位,展会主办/承办机构,上游,中国,山东省,临沂市,,华东,民企/市场化机构,组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,中展博2025项目0572、中展博2025项目0788、中展博2025项目0850、建筑装饰材料博览会、第 10 届中国 (临沂) 全屋定制精品展览会,待核验,待核验,待核验,待核验,,,13554308022,1642768720@qq.com,027-82439316,中国博览会和展览会、展链会手册/展商名录,C,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验；《中国博览会和展览会2025》主办机构收录，联系方式为展会项目公开联系方式，待主体核验,低,source_directory_city,S0031、S9104、S9923、S9924、S10169、S10170、S14073、S14739、S14740,china_expo_2025_organizer、china_expo_2026_organizer、pdf_summary,中展博2025项目0572；主办；电话：13554308022；邮箱：1642768720@qq.com；官网：www.was-expo.com  ॕ نࡷԗͣࠗ࠯ͤ֡ଢ଼ҮૡԚ࣠ љ֗੦הى੒Ѫ；中展博2025项目0788；主办；电话：0539-3116789；邮箱：；官网：；中展博2025项目0788；承办；电话：0539-3116789；邮箱：；官网：
C0030,货满堂集团,货满堂集团,第二届展链会,B08,企业,待判定,待判定,中国,,,,待核验,民企/市场化机构,待外部核验,待补充,待核验,待核验,待核验,待核验,,,,,,展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验,低,missing,S0032,pdf_summary,缺少可判定省市的地址或名称信息
C0031,山东国际会展集团有限公司,山东国际会展集团有限公司,第二届展链会,B08,企业,展会主办/承办机构,上游,中国,山东省,,,华东,民企/市场化机构,组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,待补充,待核验,待核验,待核验,待核验,,,,,,展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验,中,name_province,S0033,pdf_summary,已定位到省级，但缺少可公开确认的城市
C0032,济南黄河国际会展中心,济南黄河国际会展中心,中国博览会和展览会2025、中国博览会和展览会2026、第二届展链会,B08,展馆与会议中心,展会主办/承办机构、展馆与会议中心,上游,中国,山东省,济南市,,华东,事业单位/研究机构,场馆运营、会议展览承载、组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,三轮车及零部件展览会、中国日化洗涤用品 (济南) 展览会、中展博2025项目0763、中展博2025项目0765、中展博2025项目0766、传动 (济南) 展览会,待核验,待核验,待核验,待核验,,,,,,中国博览会和展览会、展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验；《中国博览会和展览会2025》展会地点收录，待场馆官网/地图核验,低,source_directory_city,S0034、S9809、S9816、S9820、S14657、S14659、S14662、S14667、S14669、S14679、S14683、S14689、S14729,china_expo_2025_venue、china_expo_2026_venue、pdf_summary,三轮车及零部件展览会；展会地点：济南黄河国际会展中心；中国日化洗涤用品 (济南) 展览会；展会地点：济南黄河国际会展中心；中展博2025项目0763；展会地点：济南黄河国际会展中心
C0033,济南舜耕国际会展中心,济南舜耕国际会展中心,第二届展链会,B08,展馆与会议中心,展会主办/承办机构、展馆与会议中心,上游,中国,山东省,济南市,,华东,事业单位/研究机构,场馆运营、会议展览承载、组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,待补充,待核验,待核验,待核验,待核验,,,,,,展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验,中,name,S0035,pdf_summary,
C0034,青岛国际会展中心,青岛国际会展中心,中国博览会和展览会2025、中国博览会和展览会2026、第二届展链会,B08,展馆与会议中心,展会主办/承办机构、展馆与会议中心,上游,中国,山东省,青岛市,,华东,事业单位/研究机构,场馆运营、会议展览承载、组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,中国山东 (青岛) 国际康养产业博览会、中展博2025项目0794、中展博2025项目0796、中展博2025项目0800、中展博2025项目0809、中展博2025项目0810,待核验,待核验,待核验,待核验,,,,,,中国博览会和展览会、展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验；《中国博览会和展览会2025》展会地点收录，待场馆官网/地图核验,低,source_directory_city,S0036、S9944、S9948、S9964、S9998、S10001、S14778、S14798、S14823、S14826,china_expo_2025_venue、china_expo_2026_venue、pdf_summary,中国山东 (青岛) 国际康养产业博览会；展会地点：青岛国际会展中心；中展博2025项目0794；展会地点：青岛国际会展中心；中展博2025项目0796；展会地点：青岛国际会展中心
C0035,临沂国际博览中心,临沂国际博览中心,中国博览会和展览会2025、中国博览会和展览会2026、第二届展链会,B08,展馆与会议中心,展会主办/承办机构、展馆与会议中心,上游,中国,山东省,临沂市,,华东,事业单位/研究机构,场馆运营、会议展览承载、组展、招商、项目运营、品牌展会、国际展、出海服务、跨境资源,中展博2025项目0786、临沂商城外贸优品博览会、第 11 届中国 (临沂) 门窗业博览会,待核验,待核验,待核验,待核验,,,,,,中国博览会和展览会、展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验；《中国博览会和展览会2025》展会地点收录，待场馆官网/地图核验,低,source_directory_city,S0037、S9917、S14736、S14764,china_expo_2025_venue、china_expo_2026_venue、pdf_summary,中展博2025项目0786；展会地点：临沂国际博览中心；临沂商城外贸优品博览会；展会地点：临沂国际博览中心；服务口径：场馆运营、会议展览承载
C0036,山东百特展览工程有限公司,山东百特展览工程有限公司,中国展览馆协会会员名录、中国展览馆协会理事会、第二届展链会,B08,企业,搭建工程公司,中游,中国,山东省,济南市,,华东,民企/市场化机构,展台搭建、工程施工、现场制作,待补充,中国展览馆协会会员；中国展览馆协会理事单位,待核验,待核验,待核验,,,,,,中国展览馆协会官网、展链会手册/展商名录,A,2026-05-25,,仅名录收录，待外部核验；中国展览馆协会官网会员名录公开收录，地址/工商待补充,高,source_official_city,S0038、S0424、S6690,caec_council、caec_member、pdf_summary,入会/收录时间：2008-01-01
C0037,济南中信会展服务有限公司,济南中信会展服务有限公司,中国展览馆协会会员名录、第二届展链会,B08,企业,会展策划与活动公司,中游,中国,山东省,济南市,,华东,民企/市场化机构,会务服务、项目执行、供需对接,待补充,中国展览馆协会会员,待核验,待核验,待核验,,,,,,中国展览馆协会官网、展链会手册/展商名录,A,2026-05-25,,仅名录收录，待外部核验；中国展览馆协会官网会员名录公开收录，地址/工商待补充,中,name,S0039、S1423,caec_member、pdf_summary,入会/收录时间：2013-11-01
C0038,云南省商务厅,云南省商务厅,中国博览会和展览会2026、第二届展链会,C08,政府与公共机构,展会主办/承办机构、政府与公共机构,支持机构,中国,云南省,昆明市,,西南,政府部门/公共机构,政策支持、公共服务、招商推介、组展、招商、项目运营、品牌展会,第九届中国昆明东盟宠物博览会,待核验,关联UFI认证展会（第九届中国昆明东盟宠物博览会）,待核验,UFI：关联UFI认证展会（第九届中国昆明东盟宠物博览会）,,,,,,中国博览会和展览会、展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验；《中国博览会和展览会2026》主办机构收录，联系方式为展会项目公开联系方式，待主体核验,低,source_directory_city,S0041、S16512,china_expo_2026_organizer、pdf_summary,服务口径：组展、招商、项目运营、品牌展会；第九届中国昆明东盟宠物博览会；主办；电话：；邮箱：；官网：
C0039,昆明市商务局,昆明市商务局,第二届展链会,C08,政府与公共机构,政府与公共机构,支持机构,中国,云南省,昆明市,,西南,政府部门/公共机构,政策支持、公共服务、招商推介,待补充,待核验,待核验,待核验,待核验,,,,,,展链会手册/展商名录,C,2026-05-25,,仅名录收录，待外部核验,中,name,S0042,pdf_summary,
C0040,昆明会展产业促进会,昆明会展产业促进会,第二届展链会,C08、云南展团 C08,行业协会与商协会,行业协会与商协会,支持机构,中国,云南省,昆明市,盘龙区,西南,协会,行业组织、会员服务、标准研究、国际展、出海服务、跨境资源,待补充,待核验,待核验,待核验,待核验,,云南省昆明市盘龙区霖岚国际广场 B 座 1909 室,14787755795,,,展链会手册/展商名录,B,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,高,address,S0043、S0287,pdf_detail、pdf_summary,
C0041,展宿链科技有限公司,展宿链科技有限公司,第二届展链会,C08、C15、C15、云南展团 C08,企业,注册票证与数字系统,中游,中国,广东省,广州市,海珠区,华南,民企/市场化机构,注册票证、数据系统、数字平台、AI工具,待补充,待核验,待核验,待核验,待核验,,广州市海珠区江南大道中 180 号 4006 室,13888992121,,,展链会手册/展商名录,B,2026-05-25,展会手册公开电话；网站展示前建议二次核验或脱敏,手册公开信息，待外部核验,高,address,S0044、S0087、S0283,pdf_detail、pdf_summary,
